sample	cluster
SRR6113805	1
SRR6113806	1
SRR6113807	1
SRR6113810	1
SRR6113811	1
SRR6113812	1
SRR6113813	1
SRR6113815	1
SRR6113816	1
SRR6113817	1
SRR6113818	1
SRR6113819	1
SRR6113820	1
SRR6113822	1
SRR6113824	1
SRR6113825	1
SRR6113826	3
SRR6113827	3
SRR6113828	3
SRR6113829	3
SRR6113830	3
SRR6113831	3
SRR6113832	3
SRR6113833	3
SRR6113834	1
SRR6113835	1
SRR6113836	1
SRR6113837	1
SRR6113838	1
SRR6113839	1
SRR6113840	1
SRR6113841	1
SRR6113842	1
SRR6113843	1
SRR6113844	1
SRR6113845	1
SRR6113846	1
SRR6113847	1
SRR6113848	1
SRR6113849	1
SRR6113850	2
SRR6113851	2
SRR6113852	2
SRR6113853	2
SRR6113854	2
SRR6113855	2
SRR6113856	2
SRR6113857	2
SRR6113858	2
SRR6113859	2
SRR6113861	2
SRR6113862	2
SRR6113863	2
SRR6113864	2
SRR6113865	2
SRR6113866	2
SRR6113867	2
SRR6113868	2
SRR6113869	2
SRR6113870	2
SRR6113871	2
SRR6113872	2
