method1	method2	chi2	p_value	significant	contingency_shape
gmm_gmm_k4	kmeans_kmeans_k8	1087.9394315362058	4.991310685783798e-217	True	(4, 8)
gmm_gmm_k4	spectral_spectral_k10	907.2966168371361	9.35421353747113e-174	True	(4, 10)
gmm_gmm_k4	spectral_spectral_k2	168.3660130718954	2.8668761813226106e-36	True	(4, 2)
gmm_gmm_k4	spectral_spectral_k4	468.8384096869645	2.6845386986381208e-95	True	(4, 4)
gmm_gmm_k4	spectral_spectral_k6	535.9264518516131	1.3996814584536242e-104	True	(4, 6)
gmm_gmm_k4	spectral_spectral_k8	433.4139254265177	1.0994890487904366e-78	True	(4, 8)
gmm_gmm_k4	gmm_gmm_genes10000	1409.4301075268818	1.549225574074097e-291	True	(4, 6)
gmm_gmm_k4	gmm_gmm_genes1000	975.5627240143369	2.3248296081568092e-198	True	(4, 6)
gmm_gmm_k4	gmm_gmm_genes100	505.63905096805155	3.624740838415585e-98	True	(4, 6)
gmm_gmm_k4	gmm_gmm_genes10	508.80768003688695	7.740730549771922e-99	True	(4, 6)
gmm_gmm_k4	kmeans_kmeans_genes10000	1012.4320683111954	2.916228752025369e-206	True	(4, 6)
gmm_gmm_k4	kmeans_kmeans_genes1000	1376.1913978494622	2.1904611120300032e-284	True	(4, 6)
gmm_gmm_k4	kmeans_kmeans_genes100	518.3935044926664	7.239792423224539e-101	True	(4, 6)
gmm_gmm_k4	kmeans_kmeans_genes10	486.33733560749	4.3769640043765533e-94	True	(4, 6)
gmm_gmm_k4	spectral_spectral_genes10000	535.9264518516131	1.3996814584536242e-104	True	(4, 6)
gmm_gmm_k4	spectral_spectral_genes1000	663.8202646538268	9.469444320726225e-132	True	(4, 6)
gmm_gmm_k4	spectral_spectral_genes100	968.2337073266197	8.642185717033365e-197	True	(4, 6)
gmm_gmm_k4	spectral_spectral_genes10	475.69006371869983	7.779926217259697e-92	True	(4, 6)
gmm_gmm_k6	gmm_gmm_k8	1773.2893352153753	0.0	True	(6, 8)
gmm_gmm_k6	kmeans_kmeans_k10	1934.562669579619	0.0	True	(6, 10)
gmm_gmm_k6	kmeans_kmeans_k2	483.0000000000001	3.726634504088365e-102	True	(6, 2)
gmm_gmm_k6	kmeans_kmeans_k4	1166.7275835968967	2.2890525203208233e-239	True	(6, 4)
gmm_gmm_k6	kmeans_kmeans_k6	1441.6760559812403	4.78526875357754e-289	True	(6, 6)
gmm_gmm_k6	kmeans_kmeans_k8	1773.2893352153753	0.0	True	(6, 8)
gmm_gmm_k6	spectral_spectral_k10	1268.177846708893	3.1825591450193837e-236	True	(6, 10)
gmm_gmm_k6	spectral_spectral_k2	196.52905525846705	1.5697456122819663e-40	True	(6, 2)
gmm_gmm_k6	spectral_spectral_k4	796.9032882011605	3.9091582524417067e-160	True	(6, 4)
gmm_gmm_k6	spectral_spectral_k6	1041.0977212686303	1.0996857718950578e-203	True	(6, 6)
gmm_gmm_k6	spectral_spectral_k8	962.2088535582512	2.5027838439336137e-179	True	(6, 8)
gmm_gmm_k6	gmm_gmm_genes10000	2415.0	0.0	True	(6, 6)
gmm_gmm_k6	gmm_gmm_genes1000	1723.8701967133256	0.0	True	(6, 6)
