sample	n_models	n_unique_predictions	entropy	agreement	most_common_prediction	most_common_count	n_models_predict_4	n_models_predict_1	n_models_predict_5	n_models_predict_3	n_models_predict_2	n_models_predict_0
SRR6113560	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113561	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113562	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113563	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113564	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113565	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113566	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113567	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113568	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113569	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113570	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113571	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113572	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113573	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113574	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113575	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113576	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113577	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113578	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113579	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113580	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113581	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113582	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113583	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113584	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113585	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113586	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113587	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113588	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113589	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113590	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113591	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113592	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113593	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113594	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113595	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113596	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113597	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113598	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113599	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113600	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113601	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113602	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113603	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113604	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113605	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113606	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113607	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113608	3	1	0.0	1.0	4	3	3	0	0	0	0	0
SRR6113609	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113610	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113611	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113612	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113613	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113614	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113615	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113616	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113617	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113618	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113619	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113620	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113621	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113622	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113624	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113625	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113626	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113627	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113628	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113629	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113630	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113631	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113632	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113633	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113634	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113635	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113636	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113637	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113638	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113639	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113640	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113641	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113642	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113643	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113644	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113645	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113646	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113647	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113648	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113649	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113650	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113651	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113652	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113653	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113654	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113655	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113656	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113657	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113658	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113659	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113660	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113661	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113662	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113663	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113664	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113665	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113666	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113667	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113668	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113669	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113670	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113671	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113672	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113673	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113674	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113675	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113677	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113678	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113679	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113680	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113681	3	1	0.0	1.0	0	3	0	0	0	0	0	3
SRR6113682	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113683	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113684	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113685	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113687	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113688	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113689	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113690	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113691	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113692	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113693	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113694	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113695	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113696	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113697	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113699	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113701	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113703	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113704	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113705	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113708	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113709	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113710	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113711	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113712	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113714	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113715	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113716	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113717	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113718	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113719	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113720	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113721	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113722	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113723	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113724	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113725	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113726	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113727	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113728	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113729	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113730	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113731	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113732	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113733	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113734	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113735	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113736	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113737	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113738	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113739	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113740	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113741	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113742	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113743	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113744	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113745	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113746	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113748	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113749	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113750	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113751	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113752	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113753	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113754	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113755	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113756	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113757	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113758	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113759	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113760	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113761	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113762	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113763	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113764	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113765	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113766	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113767	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113768	3	1	0.0	1.0	1	3	0	3	0	0	0	0
SRR6113769	3	1	0.0	1.0	1	3	0	3	0	0	0	0
